date,province,cases,count
2020/1/23,广西,total_deaths,0
2020/1/23,云南,total_deaths,0
2020/1/23,海南,total_deaths,0
2020/1/23,贵州,total_deaths,0
2020/1/23,山西,total_deaths,0
2020/1/23,辽宁,total_deaths,0
2020/1/23,天津,total_deaths,0
2020/1/23,甘肃,total_deaths,0
2020/1/23,吉林,total_deaths,0
2020/1/23,内蒙古,total_deaths,0
2020/1/23,新疆,total_deaths,0
2020/1/23,宁夏,total_deaths,0
2020/1/23,香港,total_deaths,0
2020/1/23,台湾,total_deaths,0
2020/1/23,青海,total_deaths,0
2020/1/23,澳门,total_deaths,0
2020/1/23,西藏,total_deaths,0
2020/1/24,湖北,total_confirmed,730
2020/1/24,广东,total_confirmed,78
2020/1/24,河南,total_confirmed,32
2020/1/24,浙江,total_confirmed,62
2020/1/24,湖南,total_confirmed,43
2020/1/24,安徽,total_confirmed,39
2020/1/24,江西,total_confirmed,18
2020/1/24,江苏,total_confirmed,18
2020/1/24,重庆,total_confirmed,57
2020/1/24,山东,total_confirmed,27
2020/1/24,四川,total_confirmed,28
2020/1/24,黑龙江,total_confirmed,9
2020/1/24,北京,total_confirmed,41
2020/1/24,上海,total_confirmed,33
2020/1/24,福建,total_confirmed,18
2020/1/24,河北,total_confirmed,8
2020/1/24,陕西,total_confirmed,15
2020/1/24,广西,total_confirmed,23
2020/1/24,云南,total_confirmed,11
2020/1/24,海南,total_confirmed,19
2020/1/24,贵州,total_confirmed,4
2020/1/24,山西,total_confirmed,6
2020/1/24,辽宁,total_confirmed,16
2020/1/24,天津,total_confirmed,10
2020/1/24,甘肃,total_confirmed,4
2020/1/24,吉林,total_confirmed,4
2020/1/24,内蒙古,total_confirmed,2
2020/1/24,新疆,total_confirmed,3
2020/1/24,宁夏,total_confirmed,3
2020/1/24,香港,total_confirmed,5
2020/1/24,台湾,total_confirmed,3
2020/1/24,青海,total_confirmed,1
2020/1/24,澳门,total_confirmed,2
2020/1/24,西藏,total_confirmed,0
2020/1/24,湖北,total_recoveries,32
